"twitter_id","twitter_created_at","tweet","corpus","user","agreement","votes","score","label","__split"
"1248859034721148929","2020-04-11 10:22:51","#buenosdias ☁️? en este #sabadodegloria #malagaconacento #felizsabado #11abril #yomequedoencasa","Estado de alarma nacional (oficial)","Malagaconacento","100","1","1","positive","test"
"1248937166773923840","2020-04-11 15:33:19","""paseando al perro"". un vecino de torreaguera paseando a su perro por la calle principal del pueblo, dentro del estado de alarma por coronavirus. #covid_19 #coronavirusmurcia #coronavirus #estadodealarma…","Estado de alarma nacional (oficial)","NACHOGARCIA09","100","1","1","positive","test"
"1239278483991339009","2020-03-15 20:53:09","#quedateencasa. juntos lo conseguimos","Estado de alarma nacional (oficial)","jnrafael1","100","1","1","positive","test"
"1245862884493553667","2020-04-03 01:57:13","a lo ke llega ste #gobgenocida #socialcomunismo -comparte- @voanoticias @bbcbreaking @europapress @financialtimes @nytimes @eu_commission @rppnoticias @actualidadrt @cnnbrk @coronavirusesp #rt #covid19 #yomequedoencasa","Estado de alarma nacional (oficial)","MARLE68","100","1","-1","negative","test"
"1247584775877144577","2020-04-07 19:59:24","⛹️‍♀️? aunque creas que tu vida en un deshecho, ve y pelea. sácale al deshecho pecho. ?????????????????????????????. #aplausosanitario #yomequedoencasa #coronavirusespaña #estopasará. #estonotienequeparar #estevirusloparamosunidos","Estado de alarma nacional (oficial)","CBBembibrePDM","100","1","1","positive","train"
"1248596473501057026","2020-04-10 16:59:31","¡doñaneros! ya nos queda menos para estar juntos de nuevo. ?. #quedateencasa #doñanateespera. ¡gracias por todos los mensajes de ánimo que nos hacéis llegar!","Estado de alarma nacional (oficial)","CampingDonana","100","1","1","positive","test"
"1252028236474847240","2020-04-20 04:16:07","¡etiqueta a quien echas de menos este #lunesdeaguas! ?❤. ¡feliz lunes de aguas #salamanca! ?. entérate de +eventos en: . #quedateencasa #yomequedoencasa","Estado de alarma nacional (oficial)","ConciertosenSal","100","1","1","positive","val"
"1239596912946360320","2020-03-16 17:58:29","vivo en arenys de munt, y ya hay 2 casos de coronavirus...tengo mucho miedo. #yomequedoencasa #yomequedoencasajugando","Estado de alarma nacional (oficial)","LaPeceraTonta","100","1","-1","negative","train"
"1250907184160014337","2020-04-17 02:01:28","@madridonasangre @lapazdona oooh??. ¡es que esto también es el sistema, y toca arrimar el hombro (o la sangradura?) más aún!. me he vuelto con una sensación maravillosa... chute total de ánimo para seguir con el #quedateencasa??. cuidaos mucho, y enhorabuena por una atención tan cariñosa y humana.","Estado de alarma nacional (oficial)","masuch2","100","1","1","positive","val"
"1247334796784779266","2020-04-07 03:26:04","@itsvicens @orangeesportses #quedateencasa #orangechallenge creo que ganaría un partida contra ti porque seguramente no gane el concurso porque no lo voy a ganar","Estado de alarma nacional (oficial)","Noriya16_offi","100","1","-1","negative","train"
"1255903971119632384","2020-04-30 20:56:54","seguimos seguimos...??‍???‍? ya queda menos para enseñar por fin lo que tenemos entre manos...?? #stayathome  #surprise #workshops #quedateencasa  #covid19 #drums #tambores #musica #ritmo","Estado de alarma nacional (oficial)","brincadeiraBCN","100","1","1","positive","test"
